,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
299,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Puctto Pty Ltd,Indooroopilly,4068.0,,,Commercialisation of PUCTTO: Fashion Visualization Technology,Indooroopilly,4068.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Maiwar,100000.0
300,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Social Impact Group Pty Ltd,Southport,4215.0,,,Little Phil Fundraising Platform,Southport,4215.0,,2/12/2020,Gold Coast (C),Gold Coast,Southport,100000.0
301,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,SensaWeb Pty Ltd,Karana Downs,4306.0,,,SensaWeb Real-time Radiation Area Monitoring,Karana Downs,4306.0,,2/12/2020,Brisbane (C),Ipswich,Moggill,100000.0
302,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Native Beeings Pty Ltd,Cleveland,4163.0,,,Commercialising Australian Native Bee Propolis Products,Laidley,4341.0,,2/12/2020,Redland (C),Ipswich,Oodgeroo,100000.0
303,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,National Plastics & Rubber Pty Ltd,Sumner,4074.0,,,HoseMate™ Commercialisation,Sumner,4074.0,,2/12/2020,Brisbane (C),Ipswich,Mount Ommaney,100000.0
304,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Pinch Labs Pty Ltd,Fortitude Valley,4006.0,,,Notiv Commercialisation in Professional Services Market,Fortitude Valley,4006.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,150000.0
305,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Padmore City Pty Ltd,Ashgrove,4060.0,,,"Online Virtual, City-Themed Learning Platform.",Ashgrove,4060.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,Cooper,100000.0
306,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Sunbirds Aero Pty Ltd,Fortitude Valley,4006.0,,,Solar Powered Drones for Long Range Mapping Solutions,Fortitude Valley,4006.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,50000.0
307,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Embrayse Pty Ltd,Wishart,4122.0,,,Embrayse Meal Management Solution for Aged Care,Wishart,4122.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,Mansfield,97000.0
308,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Earthoffset Pty Ltd,Newstead,4006.0,,,Commercialisation of organic waste recycling technology,Newstead,4006.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
309,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Hero Software Pty Ltd,Maleny,4552.0,,,Home Energy Rating & Optimisation (Hero) - Building Simulation Software,Maleny,4552.0,,20/12/2021,Sunshine Coast (R),Sunshine Coast,Glass House,100000.0
310,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Geobotica Pty Ltd,Brisbane,4000.0,,,3D Cognitive Mapping,Brisbane,4000.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,McConnel,99996.0
311,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Aeromech Pty Ltd,Brisbane City,4000.0,,,SARGO - Search and Rescue GO,St Lucia,4072.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
312,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Wildfire Energy Pty Ltd,Brisbane City,4000.0,,,Waste to Hydrogen,Murarrie,4172.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,200000.0
313,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Concrete Data Sensors Pty Ltd,Clontarf,4019.0,,,Structural Integrity monitoring of Concrete and Wall Structures,Clontarf,4019.0,,20/12/2021,Moreton Bay (R),Moreton Bay,Redcliffe,100000.0
314,Ignite Ideas Fund,AQ Ignite Ideas Fund 2021-22 Round 8,Brancher Pty Ltd,Newstead,4006.0,,,Virtual Mentoring and Career development for Businesses and Industry Associations,Newstead,4006.0,,20/12/2021,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
315,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,MCT (Australia) Pty Ltd,Brisbane City,4000.0,,,Pro-grade physio relief anywhere – BearTrap,Brisbane City,4000.0,,2/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000.0
316,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Cake Equity Pty Ltd,Palm Beach,4221.0,,,Cake Sydney Launch,Palm Beach,4221.0,,2/12/2020,Gold Coast (C),Gold Coast,Burleigh,100000.0
