000,10,11,12,abc,act,albanese,asked,australian,australians,brisbane,bst,case,cases,change,children,coast,com,community,court,covid,cyclone,day,days,decision,don,election,emergency,energy,expected,family,federal,gmt,going,government,group,guardian,health,help,high,home,including,just,know,labor,leader,like,lnp,local,make,members,minister,morning,morrison,nation,national,need,new,news,north,nsw,palaszczuk,parliament,party,people,pic,police,power,premier,prime,public,report,right,say,says,service,services,south,state,statement,support,sydney,tax,think,time,today,told,twitter,updated,ve,victoria,violence,want,water,way,week,women,work,year,years
11,20,11,19,8,7,13,9,22,8,5,0,7,6,8,11,5,11,9,5,7,2,13,6,7,9,10,5,13,4,5,8,73,5,38,6,4,12,5,7,8,11,11,8,16,6,5,9,6,10,6,21,14,8,10,10,13,18,11,6,23,7,6,11,35,10,19,6,11,11,12,8,6,7,27,5,9,13,22,6,9,13,4,9,14,20,8,10,56,9,13,6,9,8,8,12,14,12,19,7
11,20,10,19,8,6,13,9,22,7,4,0,7,6,8,11,5,11,9,5,7,2,13,6,7,8,10,5,13,4,5,8,73,5,38,6,4,12,5,7,8,9,11,6,16,6,5,9,6,10,6,19,14,8,10,9,12,18,11,6,23,7,5,11,35,10,18,5,9,10,11,8,6,6,24,5,9,12,22,6,9,11,3,6,12,20,8,10,56,9,11,6,9,8,7,12,14,12,19,7
11,20,10,19,6,6,13,9,22,7,4,0,6,6,8,9,5,11,9,5,6,2,13,6,7,8,10,5,13,4,5,8,73,5,38,5,4,10,5,7,6,9,11,6,16,6,5,9,6,10,6,19,14,7,10,9,12,18,10,6,23,7,5,11,35,10,18,5,9,10,11,8,6,6,24,4,6,12,19,6,9,11,3,6,12,20,8,10,56,9,11,6,8,8,7,12,14,12,19,7
10,18,10,19,4,5,13,8,19,7,4,0,6,5,8,7,5,10,9,5,6,2,9,6,7,8,10,5,13,4,5,7,66,5,34,5,4,10,5,5,6,9,10,6,16,6,5,9,6,8,5,19,7,7,10,9,8,16,10,6,23,7,5,11,31,10,18,5,9,10,11,8,6,5,24,4,6,12,15,6,9,11,3,6,12,19,8,10,41,9,11,6,8,7,5,9,14,8,10,6
10,18,10,19,4,5,13,8,19,7,4,0,6,5,8,6,4,10,6,4,4,2,9,6,7,8,9,5,13,4,5,7,66,5,34,5,4,10,4,5,6,9,10,6,14,5,5,8,6,8,5,19,7,7,10,9,8,16,10,4,23,7,5,11,31,10,18,5,9,10,11,8,6,5,24,4,6,12,15,6,9,11,3,6,12,19,7,10,41,8,11,6,8,7,5,9,14,8,10,6
10,18,10,13,3,5,11,8,19,6,4,0,6,5,8,6,4,10,6,4,4,2,9,6,7,8,9,5,13,4,5,7,66,5,34,5,4,10,4,5,6,6,10,6,14,5,4,8,5,7,4,16,7,7,10,8,8,16,10,4,13,7,5,11,31,10,18,5,8,6,11,8,6,5,23,4,6,12,15,6,8,10,3,5,11,19,7,10,41,7,9,6,8,6,5,9,14,8,10,6
10,18,10,13,3,5,11,8,19,6,4,0,5,5,8,6,4,10,6,4,4,2,9,6,7,8,9,5,13,4,5,7,66,5,34,5,4,9,4,5,5,6,10,6,14,5,4,8,5,7,4,16,7,5,10,8,8,16,8,4,13,7,5,11,31,10,17,5,8,6,11,8,6,5,23,4,5,12,15,6,7,10,3,5,11,19,6,10,41,7,9,6,5,5,5,9,14,8,10,6
9,14,10,13,3,5,7,8,17,6,4,0,4,4,6,6,4,9,6,4,4,1,9,5,6,8,9,5,13,4,4,7,35,5,27,5,4,9,4,5,5,6,10,6,14,5,4,8,5,7,4,16,7,5,9,8,5,13,8,4,13,7,5,10,26,6,17,5,8,5,11,8,6,4,23,4,5,10,15,6,7,9,3,5,11,12,6,7,34,7,9,6,5,5,5,9,14,8,10,6
9,14,10,13,3,5,7,8,17,6,4,0,4,4,6,5,4,9,6,4,4,1,9,5,6,8,9,5,11,4,4,7,35,5,27,5,4,9,4,5,5,6,10,6,13,5,4,8,5,7,4,16,7,5,9,8,5,13,8,4,13,6,5,10,26,6,17,5,8,5,11,8,6,4,23,4,5,10,15,4,7,9,3,5,11,12,6,7,34,7,9,5,5,5,5,9,14,8,10,6
9,14,8,10,3,4,5,8,17,4,4,0,4,4,6,5,4,9,6,4,4,1,9,5,6,6,8,5,11,4,4,7,0,5,26,5,4,9,3,5,5,6,10,5,13,5,4,8,4,6,4,15,7,5,9,8,5,13,8,4,11,6,5,10,26,6,17,5,8,5,10,8,6,4,16,4,5,10,15,4,7,9,3,5,7,12,6,7,34,7,7,5,5,5,5,9,13,6,9,6
